era_SectionOfLine;era_SectionOfLine_era_opStart;era_SectionOfLine_era_opStart__label;era_SectionOfLine_era_nationalLine_rdfs_label;era_SectionOfLine_era_lengthOfSectionOfLine;era_SectionOfLine_era_opEnd;era_SectionOfLine_era_opEnd__label;CUSTOM_VAR_IN_COUNTRY;CUSTOM_VAR_IN_COUNTRY__label;__type;__label
http://data.europa.eu/949/sectionOfLine/227a37ad60;http://data.europa.eu/949/operationalPoint/3552679211;Tystberga;2;12.182;http://data.europa.eu/949/operationalPoint/d39e1d1a5a;Sjösa;http://publications.europa.eu/resource/authority/country/SWE;Sweden;;
http://data.europa.eu/949/sectionOfLine/8fda047abd;http://data.europa.eu/949/operationalPoint/204a1232a3;Korsträsk;7;4.76;http://data.europa.eu/949/operationalPoint/13ccc95074;Nyfors;http://publications.europa.eu/resource/authority/country/SWE;Sweden;;
http://data.europa.eu/949/sectionOfLine/aef3dc36a6;http://data.europa.eu/949/operationalPoint/647adc99c1;Lekarekulle;3;10.127;http://data.europa.eu/949/operationalPoint/1d9858a659;Frillesås;http://publications.europa.eu/resource/authority/country/SWE;Sweden;;
http://data.europa.eu/949/sectionOfLine/5530777b40;http://data.europa.eu/949/operationalPoint/3f5a2f2b87;Virsbo;63;10.508;http://data.europa.eu/949/operationalPoint/b9cb3763d0;Ängelsberg;http://publications.europa.eu/resource/authority/country/SWE;Sweden;;
http://data.europa.eu/949/sectionOfLine/deb8df66fb;http://data.europa.eu/949/operationalPoint/b8c5fc9c72;Arnemark;42;24.957;http://data.europa.eu/949/operationalPoint/b064f75aba;Piteå;http://publications.europa.eu/resource/authority/country/SWE;Sweden;;
http://data.europa.eu/949/sectionOfLine/d027cdfcc3;http://data.europa.eu/949/operationalPoint/34944f2269;Vallnäs;80;7.147;http://data.europa.eu/949/operationalPoint/4037f3ed99;Mariannelund;http://publications.europa.eu/resource/authority/country/SWE;Sweden;;
http://data.europa.eu/949/sectionOfLine/6b96016330;http://data.europa.eu/949/operationalPoint/9eb6551716;Brunflo;20;7.92;http://data.europa.eu/949/operationalPoint/44bed15ecd;Ope;http://publications.europa.eu/resource/authority/country/SWE;Sweden;;
http://data.europa.eu/949/sectionOfLine/3f4af1acc7;http://data.europa.eu/949/operationalPoint/cb9a1b24c8;Gimo;55;16.56;http://data.europa.eu/949/operationalPoint/8914c42863;Hargshamn;http://publications.europa.eu/resource/authority/country/SWE;Sweden;;
http://data.europa.eu/949/sectionOfLine/9b0069d2a9;http://data.europa.eu/949/operationalPoint/c5b2415d6e;Tallåsen;8;10.059;http://data.europa.eu/949/operationalPoint/3aff886da6;Loster;http://publications.europa.eu/resource/authority/country/SWE;Sweden;;
http://data.europa.eu/949/sectionOfLine/7ae49a1066;http://data.europa.eu/949/operationalPoint/97c5e3a3cf;Bälgviken;18;4.789;http://data.europa.eu/949/operationalPoint/112fc89d30;Hållsta;http://publications.europa.eu/resource/authority/country/SWE;Sweden;;
http://data.europa.eu/949/sectionOfLine/2128ae64ac;http://data.europa.eu/949/operationalPoint/c609dbe996;Algutsgården;1;10.524;http://data.europa.eu/949/operationalPoint/7eeae69904;Alingsås;http://publications.europa.eu/resource/authority/country/SWE;Sweden;;
http://data.europa.eu/949/sectionOfLine/c3ba2c7181;http://data.europa.eu/949/operationalPoint/d1c30ed4d5;Dammstorp;2;3.508;http://data.europa.eu/949/operationalPoint/bcf2f65adf;Örtofta;http://publications.europa.eu/resource/authority/country/SWE;Sweden;;
http://data.europa.eu/949/sectionOfLine/d51c5b36e8;http://data.europa.eu/949/operationalPoint/7b29f087c1;Billeberga;32;5.991;http://data.europa.eu/949/operationalPoint/f09492944b;Teckomatorp;http://publications.europa.eu/resource/authority/country/SWE;Sweden;;
http://data.europa.eu/949/sectionOfLine/34728179ea;http://data.europa.eu/949/operationalPoint/3bd8962e30;Ralingsås;2;10.232;http://data.europa.eu/949/operationalPoint/05162ab39b;Flisby;http://publications.europa.eu/resource/authority/country/SWE;Sweden;;
