id,LINKSEQUENCE_OID,VALID_FROM,VALID_TO,START_NODE_OID,END_NODE_OID,START_MEASURE,END_MEASURE,LENGTH,EXTENT_LENGTH
26,89b36770-57a0-49bb-8377-81f60d047c50,18991231,99991231,ca7285a0-242a-4b01-b4d8-e5aa1db7fe5d,"04f9c541-5ae1-4b2c-b868-c490a83af120",0,1,65.4213512547607,0.001
27,"00d215bb-cbdd-4ab7-bd50-165f2e8e5bb0",18991231,99991231,"0c05e3f7-4512-4cdd-9509-98a0d9692fa5",b4b219fe-a337-4ce3-ade7-022a377e82e7,0,1,117.630778710336,0.001
28,f25dbbe9-09fb-48cc-8b78-1d1c40ccb716,18991231,99991231,"0c05e3f7-4512-4cdd-9509-98a0d9692fa5",d1ef7e19-a3dd-41a0-9876-aa8a193c7f83,0,1,117.001975748907,0.001
29,"00792b76-b436-4ba7-b886-27c663141564",18991231,99991231,442a516b-5f7a-4d7f-a6dc-d454c64ec58c,d5703cdc-1519-4a7c-b9be-24f4459b122b,0,1,42.101697115437,0
30,"0a2e74e1-a083-4bc8-8b84-4eb8d748809b",18991231,99991231,"04f9c541-5ae1-4b2c-b868-c490a83af120",b1250e15-420c-408c-88ec-3b1621e9eb9a,0,1,29.9313547972785,0
31,6b95aefd-1fac-4815-a656-109bc996b86f,18991231,99991231,f9c77d19-3e86-4fe4-962a-d5b5e76bed78,6f279d64-0b1d-4493-a62d-7969c1146aba,0,1,158.507856441613,0.001
32,980bc79d-7220-47b8-b85b-f13c2a9aaf07,18991231,99991231,6f279d64-0b1d-4493-a62d-7969c1146aba,973d5fda-1a92-411c-abe9-4f0debe3e273,0,1,615.868829782836,0.007
33,210588ea-6837-401a-bb57-cebc71660e48,18991231,99991231,e74a987a-a9d9-4b5f-acbc-2e2282178033,4421203e-b869-40ab-9a0c-4c1a8a115e53,0,1,292.823775369789,0.003
34,"024e6db4-677a-4eb9-b41f-418ab18ff4c3",18991231,99991231,4421203e-b869-40ab-9a0c-4c1a8a115e53,407f2b43-b2e1-4043-af5a-42f5246eef8a,0,1,0.573149195242126,0
35,a1ba03dd-d78d-41aa-a230-775aa69d0bf6,18991231,99991231,40e5a101-3e37-45a8-81e6-50c1f35fb5a8,4421203e-b869-40ab-9a0c-4c1a8a115e53,0,1,296.2450012234,0.003
36,483eaf5a-f6d1-4db0-911f-2e5fc655a7c2,18991231,99991231,10567ba3-df1a-4042-b919-09b471ab2a8c,f4e40194-a8df-4a4a-9788-9dc6d1fb2464,0,1,57.0925143955237,0.001
37,5c905981-a88f-4b43-8728-723ae11a99d1,18991231,99991231,10567ba3-df1a-4042-b919-09b471ab2a8c,c26c431f-67ad-44ee-9e86-f39361bac2b3,0,1,40.1058100529551,0
38,77244fce-62b7-4d5a-b885-830c85d0274f,18991231,99991231,f4e40194-a8df-4a4a-9788-9dc6d1fb2464,2fffa910-24eb-4ed4-9f4e-13b62d51a0f4,0,1,26.3687959527924,0
39,33527112-37fc-4c70-a0bb-26a102b6ccd3,18991231,99991231,f4e40194-a8df-4a4a-9788-9dc6d1fb2464,16f182fa-1d2d-4341-833b-e647bde811ff,0,1,59.144542436306,0.001
40,29a93409-7a91-42ac-8ba4-fde07a0a72d8,18991231,99991231,c26c431f-67ad-44ee-9e86-f39361bac2b3,442a516b-5f7a-4d7f-a6dc-d454c64ec58c,0,1,660.173554351426,0.006
41,"038f1217-efd5-4d5d-ad8a-42321e116a12",18991231,99991231,c26c431f-67ad-44ee-9e86-f39361bac2b3,62b420c2-2531-4c3a-a64d-b855d1d7923a,0,1,536.725987987246,0.005
42,4baaa91a-f3ac-4dd0-a955-c945f6ef3600,18991231,99991231,2fffa910-24eb-4ed4-9f4e-13b62d51a0f4,88c6c338-1391-4070-a3d1-39dc5ae5ca1d,0,1,630.351780539761,0.006
43,7f3bc798-f444-4dcf-9939-42dbc6e08709,18991231,99991231,2fffa910-24eb-4ed4-9f4e-13b62d51a0f4,9acf05b5-761e-42ad-9e5a-461993dae193,0,1,589.380307778167,0.006
44,97f3a225-91c4-4806-bfa6-f26da82c4745,18991231,99991231,d5703cdc-1519-4a7c-b9be-24f4459b122b,a592aa88-5d86-486a-94ef-e9e04240d013,0,1,53.0395710767124,0.001
45,446f308b-44a5-4de5-bb09-1242f4c8e5ff,18991231,99991231,88c6c338-1391-4070-a3d1-39dc5ae5ca1d,d5703cdc-1519-4a7c-b9be-24f4459b122b,0,1,29.6145167105594,0
46,"0545e9c2-29ce-4a46-a237-7e4a0184d894",18991231,99991231,9acf05b5-761e-42ad-9e5a-461993dae193,88c6c338-1391-4070-a3d1-39dc5ae5ca1d,0,1,41.7050416616509,0
47,f7f0f369-3694-4eac-a8d2-6807a06958e8,18991231,99991231,32cf204d-a6fd-45e1-b5e3-30921287382c,9acf05b5-761e-42ad-9e5a-461993dae193,0,1,38.5692429274898,0
48,a99108ce-d7bc-48de-ad80-2357b30f0eab,18991231,99991231,16f182fa-1d2d-4341-833b-e647bde811ff,32cf204d-a6fd-45e1-b5e3-30921287382c,0,1,520.55608205641,0.005
49,"060a6398-ab22-4667-b949-6feebbafab64",18991231,99991231,16f182fa-1d2d-4341-833b-e647bde811ff,32cf204d-a6fd-45e1-b5e3-30921287382c,0,1,519.513584857712,0.005
50,5e6a7a0c-5af2-4714-9b9c-2b8ad30a726c,18991231,99991231,a592aa88-5d86-486a-94ef-e9e04240d013,83c6dd4f-ab18-442b-8e63-29cc5cdd034f,0,1,46.2715571382493,0
51,87b0da52-2948-456a-8316-05aa5f98f4f0,18991231,99991231,83c6dd4f-ab18-442b-8e63-29cc5cdd034f,"0ac1041b-8fdd-46a7-bd28-1f2e9b88f00f",0,1,242.537309632215,0.003
52,5fd8f9fe-0c3f-49ef-9272-dd49f3668212,18991231,99991231,7c2b949b-57b7-4ba3-8f64-436b2cf73bad,3a0f42a0-c117-4eff-a949-353a57a51e19,0,1,36.6309664082729,0.001
53,675efbd2-b2c1-472c-89d6-e955a0672d30,18991231,99991231,7c2b949b-57b7-4ba3-8f64-436b2cf73bad,cebb48b8-feb0-47f5-8d9b-b5a5aef72e9e,0,1,223.178910733611,0.004
54,5c605576-db96-4ed8-953b-f4f1c79af485,18991231,99991231,2a4d9c91-eed6-4d89-bbc8-9cffc20057cd,a592aa88-5d86-486a-94ef-e9e04240d013,0,1,324.377909920691,0.003
55,36c6df27-0ab3-4d5c-bd3e-841d36c60722,18991231,99991231,aa3c9bab-8081-4bbc-a0f2-8f73d00967ab,83c6dd4f-ab18-442b-8e63-29cc5cdd034f,0,1,261.191565222507,0.002
56,991b1e23-9e78-43f0-9747-b4c8361cced2,18991231,99991231,43a2333c-2cc9-4b1f-b2bf-aa1dcab620d3,c251e965-a426-4983-9a98-8816afceaae0,0,1,125.029808524113,0.001
