era_OperationalPoint;era_OperationalPoint_era_opType;era_OperationalPoint_era_opType__label;era_OperationalPoint_era_uopid;era_OperationalPoint_era_primaryLocation;era_OperationalPoint_era_primaryLocation__label;era_OperationalPoint_era_netReference_geosparql_hasGeometry_geosparql_asWKT;era_OperationalPoint_era_opName;CUSTOM_VAR_IN_COUNTRY;CUSTOM_VAR_IN_COUNTRY__label
http://data.europa.eu/949/operationalPoint/0edfa9ca3c;http://data.europa.eu/949/concepts/op-types/20;small station;SEUdl;http://data.europa.eu/949/primaryLocation/SE04326;SE04326;POINT(18.0013 59.3798);Ulriksdal;http://publications.europa.eu/resource/authority/country/SWE;Sweden
http://data.europa.eu/949/operationalPoint/3aff886da6;http://data.europa.eu/949/concepts/op-types/80;junction;SELtr;http://data.europa.eu/949/primaryLocation/SE10328;SE10328;POINT(15.9491 61.9395);Loster;http://publications.europa.eu/resource/authority/country/SWE;Sweden
http://data.europa.eu/949/operationalPoint/2ead3e343b;http://data.europa.eu/949/concepts/op-types/20;small station;SEFle;http://data.europa.eu/949/primaryLocation/SE00901;SE00901;POINT(16.5853 59.0569);Flen;http://publications.europa.eu/resource/authority/country/SWE;Sweden
http://data.europa.eu/949/operationalPoint/89411257bf;http://data.europa.eu/949/concepts/op-types/20;small station;SEHb;http://data.europa.eu/949/primaryLocation/SE01688;SE01688;POINT(12.6952 56.0435);Helsingborgs central;http://publications.europa.eu/resource/authority/country/SWE;Sweden
http://data.europa.eu/949/operationalPoint/f387e14cd9;http://data.europa.eu/949/concepts/op-types/20;small station;SEHm;http://data.europa.eu/949/primaryLocation/SE01707;SE01707;POINT(13.7632 56.1579);Hässleholm;http://publications.europa.eu/resource/authority/country/SWE;Sweden
http://data.europa.eu/949/operationalPoint/bce4178477;http://data.europa.eu/949/concepts/op-types/20;small station;SETö;http://data.europa.eu/949/primaryLocation/SE10534;SE10534;POINT(13.6312 56.0015);Tjörnarp;http://publications.europa.eu/resource/authority/country/SWE;Sweden
http://data.europa.eu/949/operationalPoint/a41c1eccca;http://data.europa.eu/949/concepts/op-types/20;small station;SESl;http://data.europa.eu/949/primaryLocation/SE03352;SE03352;POINT(16.6045 59.9257);Sala;http://publications.europa.eu/resource/authority/country/SWE;Sweden
http://data.europa.eu/949/operationalPoint/81a5e6d60c;http://data.europa.eu/949/concepts/op-types/20;small station;SEVns;http://data.europa.eu/949/primaryLocation/SE04594;SE04594;POINT(19.749 63.9103);Vännäs;http://publications.europa.eu/resource/authority/country/SWE;Sweden
http://data.europa.eu/949/operationalPoint/4a332c26a9;http://data.europa.eu/949/concepts/op-types/20;small station;SEMör;http://data.europa.eu/949/primaryLocation/SE02826;SE02826;POINT(12.8736 56.0554);Mörarp;http://publications.europa.eu/resource/authority/country/SWE;Sweden
http://data.europa.eu/949/operationalPoint/d3afb24518;http://data.europa.eu/949/concepts/op-types/20;small station;SESdr;http://data.europa.eu/949/primaryLocation/SE03638;SE03638;POINT(13.415 57.1614);Smålandsstenar;http://publications.europa.eu/resource/authority/country/SWE;Sweden
